name,description,model,posted_at,image_url,price,status,mileage,location,country
تويوتا,"2007, تويوتا, بريوس, Prius",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/c3/65/c3655848f75e23be4d3f71ac72a87172857c7fadfaf8ca4435dd14f47277bee0.jpg.webp,801040.0,مستعمل,184999.5,"السبعين, صنعاء",Yemen
تويوتا,"2011, تويوتا, راف فور, Limited",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/41/1b/411b1abf335f973c996cae81715c465d9715d3bd960de1e13e6bad4ce392b35f.jpg.webp,2127763.0,مستعمل,5499.5,"الظهار, إب",Yemen
تويوتا,"2014, تويوتا, فورتشنر, GXR",2014.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/dc/1a/dc1a4f729743bc56494090856b6f77702b04d765ae10d60c0ff7e3c0c937875d.jpg.webp,12516251.0,جديد,0.0,"أخرى, حضرموت",Yemen
تويوتا,"2008, تويوتا, بريوس, Prius",2008.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/cd/6f/cd6fb5b6d1d1b7464c384b468dc43ded744a19d6c75adb24868f48dd9e76bd7a.png.webp,976268.0,مستعمل,174999.5,"أخرى, صنعاء",Yemen
تويوتا,"2000, تويوتا, كامري, Core",2000.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/d1/16/d11659a745886ef58a914783df2fdc7de2cee2a703df12bf897d1f8d106056f8.jpg.webp,500000.0,مستعمل,200000.0,"نقم, صنعاء",Yemen
ايسوزو,"2012, ايسوزو, اخرى",2012.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/42/8a/428aa49a833f6b8f637fe62fb40004ba6986975613f1a64bc247c2a91461a719.jpg.webp,4756175.0,مستعمل,104999.5,"مديرية الصافية, صنعاء",Yemen
تويوتا,"2008, تويوتا, فورتشنر, GXR",2008.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/c3/c7/c3c79b7546eea51c8247d2011aef208b89db45bf9e88d0ccde5bff9ea9986d85.jpg.webp,1189044.0,مستعمل,200000.0,"الصباحه, صنعاء",Yemen
تويوتا,"2011, تويوتا, برادو, Adventure",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/31/92/3192af48514c6d542241bc03690cd19dc9a9dec4ada7c11bcb863fb290251ac9.jpg.webp,2002600.0,مستعمل,5499.5,"الاصبحي, صنعاء",Yemen
تويوتا,"2016, تويوتا, هيلوكس, GLX",2016.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/ba/f0/baf0659689eefee492fbcb753fc21266512d32e4d410870dfeb805b16e148f77.jpg.webp,5598500.0,مستعمل,184999.5,"أخرى, المكلا",Yemen
كيا,"2007, كيا, ريو, LX",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/00/6a/006ae39b8dca72f8a6586282409cd34c552ace30ffd27ac5ba56c85832f3a75a.jpg.webp,1376788.0,مستعمل,14999.5,"مديرية البريقه, عدن",Yemen
ميتسوبيشي,"2010, ميتسوبيشي, اخرى",2010.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/a6/88/a6887e6bec9f87b830b8f4d78631aaacdfc3cf5a6ef2d6a8fd882be55f2f6656.jpg.webp,250325.0,مستعمل,104999.5,"الاصبحي, صنعاء",Yemen
